tile_id,column,row,x,y,label
A1,A,1,0,0, Left_top_wall_corner_perspective
B1,B,1,32,0,top_wall_1_perspective
C1,C,1,64,0,top_wall_2_perspective
D1,D,1,96,0,top_wall_3_perspective
E1,E,1,128,0,top_wall_4_sewer_perspective
F1,F,1,160,0, right_top_wall_corner_perspective
G1,G,1,192,0, bottom_right_wall_indent
H1,H,1,224,0, bottom_wall_1
I1,I,1,256,0, bottom_left_wall_indent 
J1,J,1,288,0, wall_recessed_arch
K1,K,1,320,0, wall_vertical_gap_with_right_top_wall_corner
L1,L,1,352,0, bottom_left_corner_with_right_vertical_wall_gap
A2,A,2,0,32,left_wall_1
B2,B,2,32,32,floor_1
C2,C,2,64,32,floor_2 
D2,D,2,96,32,floor_3
E2,E,2,128,32,floor_4
F2,F,2,160,32,right_wall_1
G2,G,2,192,32, left_wall_2
H2,H,2,224,32,darkness_1
I2,I,2,256,32,right_wall_2
J2,J,2,288,32,vertical_wall_gap
K2,K,2,320,32,vertical_wall_gap_2
L2,L,2,352,32,left_vertical_wall_gap_with_left_bottom_wall_corner
A3,A,3,0,64, left_wall_3
B3,B,3,32,64,floor_5
C3,C,3,64,64,floor_6
D3,D,3,96,64,floor_7
E3,E,3,128,64,floor_8
F3,F,3,160,64,right_wall_3
G3,G,3,192,64,bottom_left_wall_corner_perspective
H3,H,3,224,64, bottom_wall_perspective
I3,I,3,256,64, bottom_right_wall_corner_perspective
J3,J,3,288,64,bottom_right_wall_double_corner_perspective
K3,K,3,320,64, right_top_wall_corner_with_gap_left_top_wall_corner
L3,L,3,352,64, right_top_corner_with_gap_left_top_corner
A4,A,4,0,96, left_wall_4
B4,B,4,32,96, floor_9
C4,C,4,64,96,floor_10
D4,D,4,96,96,floor_11
E4,E,4,128,96,floor_12
F4,F,4,160,96, right_wall_4
G4,G,4,192,96, ascending_stairs
H4,H,4,224,96, top_water_edge
I4,I,4,256,96, top_water_edge_2
J4,J,4,288,96, top_water_edge_3
K4,K,4,320,96, top_water_edge_4
L4,L,4,352,96, bottom_left_corner_with_vertical_gap_top_right_wall_corner
A5,A,5,0,128, bottom_left_corner
B5,B,5,32,128, bottom_wall_1
C5,C,5,64,128, bottom_wall_2
D5,D,5,96,128, bottom_wall_3
E5,E,5,128,128, bottom_wall_4
F5,F,5,160,128, bottom_right_corner
G5,G,5,192,128, descending_stairs
H5,H,5,224,128, water_1
I5,I,5,256,128,water_2
J5,J,5,288,128,water_3
K5,K,5,320,128,water_4
L5,L,5,352,128, bottom_right_corner_with_vertical_gap_top_right_wall_corner
